Company,Sentiment,Price,Date,Decision
MSFT,neutral,11.257133680917208,2025-01-28T16:53:53Z,hold
MSFT,negative,11.257133680917208,2025-01-08T19:24:18Z,sell
MSFT,positive,11.257133680917208,2025-01-08T11:29:54Z,buy
MSFT,negative,11.257133680917208,2025-01-22T15:16:20Z,sell
MSFT,positive,11.257133680917208,2025-01-23T07:29:27Z,buy
MSFT,positive,11.257133680917208,2025-01-25T08:38:42Z,buy
MSFT,negative,11.257133680917208,2025-01-24T22:21:32Z,sell
MSFT,negative,11.257133680917208,2025-01-29T05:32:55Z,sell
MSFT,positive,11.257133680917208,2025-01-26T12:00:00Z,buy
MSFT,positive,11.257133680917208,2025-01-08T14:17:59Z,buy
MSFT,positive,11.257133680917208,2025-01-12T14:45:22Z,buy
MSFT,negative,11.257133680917208,2025-01-24T18:54:33Z,sell
MSFT,positive,11.257133680917208,2025-01-19T17:22:52Z,buy
MSFT,positive,11.257133680917208,2025-02-01T09:52:13Z,buy
MSFT,positive,11.257133680917208,2025-02-04T04:26:46Z,buy
MSFT,positive,11.257133680917208,2025-01-10T22:06:30Z,buy
MSFT,positive,11.257133680917208,2025-01-23T19:50:46Z,buy
MSFT,positive,11.257133680917208,2025-01-10T11:23:46Z,buy
MSFT,positive,11.257133680917208,2025-01-28T18:57:00Z,buy
MSFT,negative,11.257133680917208,2025-01-08T18:01:31Z,sell
MSFT,positive,11.257133680917208,2025-02-02T12:04:16Z,buy
MSFT,positive,11.257133680917208,2025-01-31T17:06:25Z,buy
MSFT,negative,11.257133680917208,2025-01-09T14:25:00Z,sell
MSFT,negative,11.257133680917208,2025-01-31T17:41:00Z,sell
MSFT,negative,11.257133680917208,2025-01-27T13:29:00Z,sell
MSFT,negative,11.257133680917208,2025-02-05T14:15:00Z,sell
MSFT,negative,11.257133680917208,2025-01-22T16:00:00Z,sell
MSFT,positive,11.257133680917208,2025-01-22T13:22:00Z,buy
MSFT,neutral,11.257133680917208,2025-01-13T14:25:00Z,hold
MSFT,negative,11.257133680917208,2025-02-07T13:35:00Z,sell
MSFT,positive,11.257133680917208,2025-02-02T11:40:20Z,buy
MSFT,negative,11.257133680917208,2025-01-28T13:50:54Z,sell
MSFT,neutral,11.257133680917208,2025-01-30T14:12:21Z,hold
MSFT,positive,11.257133680917208,2025-01-12T12:00:00Z,buy
MSFT,neutral,11.257133680917208,2025-01-23T19:00:00Z,hold
MSFT,negative,11.257133680917208,2025-01-22T18:24:00Z,sell
MSFT,negative,11.257133680917208,2025-01-23T19:00:00Z,sell
MSFT,negative,11.257133680917208,2025-01-27T15:41:21Z,sell
MSFT,neutral,11.257133680917208,2025-01-23T21:34:13Z,hold
MSFT,positive,11.257133680917208,2025-01-27T17:56:34Z,buy
MSFT,positive,11.257133680917208,2025-01-10T15:32:23Z,buy
MSFT,negative,11.257133680917208,2025-01-16T15:46:20Z,sell
MSFT,positive,11.257133680917208,2025-01-24T14:00:00Z,buy
MSFT,positive,11.257133680917208,2025-01-15T15:47:33Z,buy
MSFT,neutral,11.257133680917208,2025-01-08T20:55:32Z,hold
MSFT,positive,11.257133680917208,2025-01-17T16:24:46Z,buy
MSFT,neutral,11.257133680917208,2025-01-24T19:12:01Z,hold
MSFT,negative,11.257133680917208,2025-02-07T00:45:56Z,sell
MSFT,positive,11.257133680917208,2025-01-29T12:15:14Z,buy
MSFT,positive,11.257133680917208,2025-01-30T12:22:36Z,buy
MSFT,positive,11.257133680917208,2025-01-29T01:46:29Z,buy
MSFT,positive,11.257133680917208,2025-01-29T13:00:47Z,buy
MSFT,negative,11.257133680917208,2025-02-06T13:41:48Z,sell
MSFT,positive,11.257133680917208,2025-01-28T16:53:53Z,buy
MSFT,positive,11.257133680917208,2025-01-28T13:00:44Z,buy
MSFT,positive,11.257133680917208,2025-01-28T00:35:42Z,buy
MSFT,neutral,11.257133680917208,2025-02-06T16:09:08Z,hold
MSFT,positive,11.257133680917208,2025-01-22T13:00:00Z,buy
MSFT,positive,11.257133680917208,2025-01-21T13:30:00Z,buy
MSFT,neutral,11.257133680917208,2025-01-30T14:07:48Z,hold
MSFT,positive,11.257133680917208,2025-01-19T12:00:00Z,buy
AMZN,negative,54.193399155486134,2025-02-07T17:41:21Z,sell
AMZN,negative,54.193399155486134,2025-02-04T10:00:02Z,sell
AMZN,positive,54.193399155486134,2025-01-11T19:06:20Z,buy
AMZN,neutral,54.193399155486134,2025-01-17T16:40:00Z,hold
AMZN,negative,54.193399155486134,2025-01-27T16:28:53Z,sell
AMZN,positive,54.193399155486134,2025-02-05T19:00:00Z,buy
AMZN,negative,54.193399155486134,2025-01-23T19:59:00Z,sell
AMZN,positive,54.193399155486134,2025-01-14T10:00:00Z,buy
